"Movie_name","Usernames","Date","Content","Rating"
"FLIPPED","lewiskendell","22 December 2010","""All I ever wanted was for Juli Baker to leave me alone.""Flipped is easily the best love story/relationship movie I've seen since (500) Days of Summer. I'm the kind of guy that you couldn't pay to watch a Nicholas Sparks movie, but that doesn't mean that I can't appreciate a good movie about the highs and lows of love. In a year of formulaic, mind-numbing flicks with no imagination or heart like Letters to Juliet, Flipped is a welcome breath of fresh air. It's about 8 or so years in the lives of two kids who meet when when one of them moves into a new neighborhood. Juli (played by Morgan Lily and Madeline Carroll) is instantly smitten by Bryce (Ryan Ketzner and Callan McAuliffe) the second she sees him drive up to his new house. Bryce, being a typical second grade boy, finds her attention embarrassing and unwanted. As they get older, that dynamic between them remains pretty much the same, but we wouldn't have a very interesting movie if that's all there was to it. Eventually Bryce finds himself on the other side of the equation (flipped, get it?), and has to win back the girl he never knew he always wanted.How odd is it that a movie about a couple of kids handles the topic of love in a more mature and genuine way than almost all of the adult-oriented romantic comedies that we're buried under each year? There's no doubt about it that Flipped will make you say ""aww"" on occasion, but there's a lot more to it than just kids being cute. Humor, issues of class, family conflict, and the lost idealism of youth are introduced into the story by Bryce and Juli's respective families, and there are several outright bittersweet or poignant scenes within the story.The movie is shown from the POV's of both main characters, and often the same event will be shown from each of their perspectives. It works really well, as it really helps the viewer to ""get"" both Bryce and Juli. The kids chosen to play the older versions of the two (Carroll and McAuliffe) are both great, the fact that the story is set in 50's or 60's suburbia adds a believable sense of innocence to it all, and there is just a fresh feeling to the movie that I can't really describe with words.I heartily recommend this to anyone who likes a good, well-written movie, regardless of the genre. You can tell that a lot of heart went into making Flipped, and it shows. Great movie.","
            8/10
            "
"FLIPPED","neenahhh","5 April 2011","'Flipped' is truly a ""real movie"". Probably what most people enjoyed about this movie was that the events that happened in the movie could might as well have been their reality. Many people in this world (if not all) have experienced having a real crush. This movie shows a crush blossoming from both a guy's and a girl's view. It was very interesting to see two viewpoints on this everyday happening. That is what makes this movie so appealing. Viewers get to watch Bryce and Juli's emotions whenever they see the other. Viewers see Bryce and Juli's smiles that they can't help. Viewers get to know who exactly Bryce and Juli are.Anyone and everyone will enjoy this movie or can at least, relate to it. Even adults! This film will surely take you down memory lane and help you remember the feelings you had when you were first in love. I've never experienced being in love before, but this film makes it seem wonderful. I absolutely loved this film.Madeline Carroll and Callan McAuliffe were great in this film! Even if they're very young, they did wonderful jobs in performing here. In each of their scenes, you could sense the emotions that they were feeling and wanted to convey to the viewers. The characters themselves were also very interesting. Particularly Ms. Juli Baker. It was nice to see such a free-spirited teenager, who was very opinionated and didn't let anything stand in her way. The chemistry that both actors had were average. I thought that they showed their most potential when acting by themselves, in their own surroundings.I was pleasantly surprised when I found out that Rob Reiner, the director of this film, was the same person who directed 'When Harry Met Sally' and 'Sleepless in Seattle'. So far, all romantic-comedies that Rob Reiner has directed has not disappointed me. I can't wait for more of his works! All his rom-coms are excellent additions to the romance movie genre.This was an amazing teenage romantic comedy. Surely one of my favorites, right up there with 'When Harry Met Sally'. Do not miss this film. It's baffling to see that this film isn't as popular as it's supposed to be.Viewed on: April 5, 2011 ; December 16, 2011","
            7/10
            "
"FLIPPED","napierslogs","13 December 2010","Juli just had to take one look at Bryce's blue eyes, and she knew it was true love. Bryce just had to take one notice of Juli's manic desperation, and he knew it was going to be a friendship of torment. I just had to take one look at the film's artfully designed poster, and I knew ""Flipped"" was a film to be savoured.A beautifully told film of first love, we flip from Juli's point of view to Bryce's point of view, very effectively giving us the true nature of their friendship, love and respect they have for each other. Except in the case of middle-school graders, that love and respect can frequently look like embarrassment, mistrust, and shame. All of those emotions are told with intelligence, subtlety and humour.""Flipped"" has all of the comedy, naiveté and bewilderment of first love. It takes the romantic comedy farther by actually giving us characters with real depth. There is more going on than just Juli and Bryce figuring out their love for each other, and every aspect of this film is well written, touching and relevant.""Flipped"" is a cute film for everybody who fondly remembers that fiercely independent girl or the guy with piercing blue eyes that lived across the street.","
            8/10
            "
"FLIPPED","ivantheeditor","26 August 2020","Truly, this is one of those rare gems you stumble upon only once in a blue moon. Give it a try! You won't regret it!","
            10/10
            "
"FLIPPED","leiser18","14 September 2010","""Flipped"" is superbly directed by Rob Reiner and in my book, one of his best movies. It's a wonderfully told coming-of-age story, which I could relate to in many ways. The main two characters, Juli and Bryce, are very likable. Their parents, played by Penelope Ann Miller and Aidan Quinn, Rebecca de Mornay and Anthony Edwards, respectively, are believable in their roles, which they play excellently. I liked the fact that the story is told from two points of views, Bryce first and then Juli. If you want to see a really feel-good movie, instead of watching some dumb comedy or shoot 'em up flick, go see FLIPPED! You will not regret it.","
            10/10
            "
"FLIPPED","mtkeg-93640","17 May 2020","Our 13yo daughter asked My wife and I to watch Flipped with her. She had seen it already once and told us it was her favorite movie. All I can say is we both absolutely enjoyed it! A movie like this is a classic. Completely blown away with all the actors and actresses! The message of this movie is incredible! Watch this with your kids!!","
            10/10
            "
"FLIPPED","Gpanther67","24 June 2021","I just discovered this gem on Netflix and was impressed, moved and entertained. Its a romantic film about puppy love, so it may not be for everyone (even teens) but I found the leads to be charming and charismatic. The plot device is nothing new, but the charm and early 60's setting make it fresh in many ways. A wonderful cast led by the young leads (now grown!), the late John Mahoney and Aidan Quinn help make this film watchable and enjoyable. A wholesome movie with wonderful moments.","
            8/10
            "
"FLIPPED","kabirkunwar","15 November 2010","The first few minutes sent me back a decade reminding how much we avoided girls or getting our names attached to one..I really liked how the story showed a basic fact (mostly at least) :""The one you love doesn't love you back, and you don't love the one that loves you!""Though the main story is not that all can relate to, the background or the base of the story was really nice. The character development was good, not like many movies which focus on only the main characters. Though the story was a little predictable, the movie is enjoyable and among a few to which we can relate to.This movie is definitely worth a watch.And it deserves an 8 out of 10.","
            8/10
            "
"FLIPPED","brettster","14 August 2010","Back in 1973, an episode of ""All in the Family"" told the same story from three different perspectives, one of which was from the point of view of Mike ""Meathead"" Stivic, played by Rob Reiner. Watching his latest directorial effort, I wondered if the ""he said / she said"" gimmick of that episode (""Everybody Tells the Truth"") was what attracted Reiner to ""Flipped,"" the young-adult novel by Wendelin Van Draanen, which employs the same multi-POV technique that Lawrence Durrell perfected with his ""Alexandria Quartet"" in the late 1950s. The film version of ""Flipped"" shows Reiner at the top of his form, a worthy addition to an ouevre that includes such classics as ""This Is Spinal Tap,"" ""Misery,"" ""When Harry Met Sally"" and ""Stand By Me,"" the 1986 period piece that ""Flipped"" most recalls, with its younger characters and coming-of-age theme. At the heart of ""Flipped"" is Juli Baker (Madeline Carroll), a smart, pretty and thoughtful girl who you just can't help losing your heart to. Juli herself flips for Bryce Loski, who is at first repelled by Juli and then slowly starts to see her for the lovely person she is. The cast is augmented by such pros as John Mahoney (Frasier's dad on ""Cheers""), Anthony Edwards, Aidan Quinn and Rebecca De Mornay and Penelope Ann Miller. The film offers up various slices of life from the late '50s and early '60s that makes for a nostalgic, romantic and very moving film. Special kudos to the filmmakers for finding a girl to play young Juli (Morgan Lily) who looks chillingly like Madeline Carroll; I would have bet anything the two were sisters. For those who are bored by the dumb-dumb summer comedies of 2010 (""The Other Guys,"" ""Dinner for Schmucks"") and the special-effects hijinks of ""Inception,"" this is a tender and emotionally satisfying journey that will stay with you for years.","
            10/10
            "
"FLIPPED","planktonrules","28 August 2015","I really, really liked this film and now wonder why it didn't make more impact when it debuted. Perhaps it was just one of those films that slipped between the cracks because ""Flipped"" is a wonderful coming of age film--and is among director Rob Reiner's best.The film is set mostly in the early 1960s. A young boy, Bryce, moves to a new neighborhood and almost instantly the girl across the street, Juli, begins mooning over him and acting like she's infatuated with him. But he's 7--and hating girls and mushy stuff is normal and he resists her charms. But she persists as the years pass--and she's convinced herself that Bryce is her dream boy. But, as the years pass, Bryce is just as convinced that Juli is a pest. However, eventually, Bryce's attitude starts to change...too bad Juli's is as well!This is a remarkable film in so many ways. The direction is wonderful--perfectly paced and very sweet. The writing is also exceptionally sweet and enchanting. It also helped that there were some wonderful supporting actors to assist in telling the story-- some characters you really liked and cared about and a couple who were complete jerks. John Mahoney was particularly good, but the entire cast was wonderful in this movie. Overall, the elements all work together to tell a sweet story that anyone could love. My only quibble, and it's a very minor one, is about the music. Too many older films are saturated with oldies music. While a bit is nice, with some it sounds more like a best of record album...and at times I would have preferred ""Flipped"" to have been a bit quieter. Not a major complaint by any means and I still give this film a well deserved 9.","
            9/10
            "
