"Movie_name","Usernames","Date","Content","Rating"
"INSIDE OUT","pickle-92642","30 January 2011","I just knew this was gonna be amazing. Such a great idea for an animated movie, even by Pixar's standards. It's truly a perfectly executed vision that did not disappoint on almost all levels. There's a lot of fun to be had with this, it's one of the funnier and more thought provoking Pixar movies. The scene where Bing Bong disappears is also extremely sad. I could also tell that this is one of Pixar's more mature films, about the struggles of growing up. It explored Nostalgia for most of the movie without even using the word. When sadness touched a core memory and turned it blue, it was a symbol for Riley feeling nostalgic for her best memories. In my book, this is yet another Pixar classic.","
            9/10
            "
"INSIDE OUT","Reckno64","29 December 2010","I hate to see so many 1 star reviews claiming this movie was ""too depressing"". Everyone who said that missed the point completely. Growing up ain't all sunshine and rainbows, it comes with a lot of hardships and that's what this movie is about. Riley's emotions try to help her through the difficulty of moving to a new place that isn't all its cracked up to be, and in the process Joy accidentally sends Riley into a deep depression. Sounds depressing, but what makes this movie great is how realistic her depression feels as Joy and Sadness try to help Riley out of it. I feel like this movie's message is ""Growing up will be tough, but you will get through it and there are people who will always help you through it."" and that is a VERY important message for children.Throughout the movie there are plenty of good jokes, gorgeous animation, and a beautiful score by Michael Giacchino (idk how to spell that....) Again, just my two cents, but I think this a great movie, if very different and a bit more depressing by Pixar standards.REALLY starting to think people are just coming to trash all of Pixar's most recent movies out of jealousy or something. There's no way so many people think this movie is garbage. If the good movies are really getting this many bad reviews, it's no wonder the quality of animated movies is going down. There's just no reason to try anymore......","
            10/10
            "
"INSIDE OUT","Animany94","9 January 2011","I did exactly what I was supposed to when watching this brilliant movie, I felt all the emotions at some point. Pixar did it again with Inside Out. For a long time I had stubbornly repeated that Toy Story would always be my favourite from Pixar, but I changed my mind shortly after watching this one. Like Toy Story you were offered a setup every adult can identify. Growing up learning how to control your feelings and learning the importance of every one of them. It is okay to be angry, sad, happy and afraid as long as we are taught how to manage them. The idea of having this control panel inside a human body has been done before by Osmosis Jones (2001), but let's say with much less success. Inside out takes it to the highest level of perfection. I loved the way Pixar made this world inside the main character of Riley, it is very creatively done and was in some ways just how I had imagined it. I must admit that I cried a couple of times during the movie, because it has some really touching moments. You should be feeling all emotions when watching Inside Out. It is a must watch.","
            10/10
            "
"INSIDE OUT","Phil_Chester","15 February 2020","I confess that I had to watch this twice before I could properly assess it. It's definitely not a young children's film, as there's precious little to entertain them, but it does have much to consider for older children and (young) adults. As a rumination on what drives us all through life, this is very effective, but I do feel that the story lacks something for making Riley so isolated in her world. Perhaps if she interacted a bit more in the story, this would be a more involving film, but the reflections on lost innocence do add some poignancy and lift this film slightly above average.","
            10/10
            "
"INSIDE OUT","TheLittleSongbird","24 November 2010","Most of Pixar's films are wonderful (short films too), and while the three films made after Toy Story 3 weren't up to their top standards they were still better than most animation companies at their worst. Inside Out was nothing short of a masterwork, Pixar's best since Toy Story 3 and one of their best overall.Pixar films can be relied upon to have great animation, and Inside Out certainly does have great animation. No, wonderful animation and some of the company's most ingeniously inventive, with gorgeously vibrant colours, a very imaginatively rendered setting (and the lands even more ingeniously done, the next land more so than the last), very meticulous and beautifully modelled backgrounds and clever character designs that match the emotions more than ideally. Michael Giacchino's sparkling, rousing and very charming score is one of my personal favourite scores of the year so far, and every bit as great as his score for Up.A superb job was done with the script here too, the comedy is clever and witty without ever being forced and balances subtly with the drama, the drama is some of the most truly poignant of any Pixar film and it doesn't ever feel manipulative or overdone and it's very smartly insightful. The story, not one of THE most innovative concepts but is one of the more imaginative uses of it and is quite original for Pixar actually, goes at a slightly steadier pace than other Disney films, but still captivated. It was very easy to completely connect with Riley and her situation and this was easily the Pixar film since Toy Story 3 that I connected with emotionally the most, also one of Pixar's most moving stories quite easily.Loved the characters too, Anger, Fear, Disgust and Bing Bong (the imaginary friend and the 'epitome of immaturity', without ever being annoying, his back story did bring a tear to the eye) stole every scene they were in, and even Sadness managed to crack some funny one-liners even in her depressive state. Joy also positively lights up the screen and Riley was easy to connect with and much more than just a stereotypical teen girl. The voice acting is splendid. Amy Poehler is note perfect as Joy with her spirited banter giving the character so much life while also bringing a human element to her as well, Lewis Black gives an explosively barn-storming turn as Anger, Phyllis Smith is amusing and affecting, Bill Hader and Mindy Kaling are similarly priceless and in a way that makes the characters of Fear and Disgust endearing rather than annoying, Richard Kind is innocently charming and Kyle MacLachlan and Diane Lane are appropriately compassionate.Overall, a masterful return to form for Pixar. It's their best since Toy Story 3 and one of their best overall as well. 10/10 Bethany Cox","
            10/10
            "
"INSIDE OUT","Michael_Elliott","28 November 2010","Inside Out (2015) *** 1/2 (out of 4)Eleven-year-old Riley has a wonderfully fun childhood thanks to the emotions working inside of her. Joy (Amy Poehler), Sadness (Phyllis Smith), Fear (Bill Hader), Anger (Lewis Black) and Disgust (Mindy Kaling) all help keep the young girl moving forward but when her family moves from Minnesota to San Fransisco it throws everyone for a loop and soon Joy and Sadness find themselves lost in her system and trying to find their way back.INSIDE OUT is certainly another winner from Pixar who are clearly the experts of the family movie. What really amazes me about the studio is that they're actually just making adult movies that kids happen to enjoy because of the pretty characters on the screen. I say this because films like this one, UP and WALL-E really do have adult stories dealing with adult issues yet somehow the studios are able to keep kids entertained while their parents get a lot more of the jokes and the emotions that the story provides. This one here is an incredibly touching story from a parent's point of view simply because of the changes that their kids go through.There's no doubt that the animation is the star of this picture and we're really treated to some wonderful images. I especially loved the use of colors in the picture and how various colors had a certain emotion attached to it. This is certainly excellent once our adventure begins as there's a ""long term memory"" section where these wonderful color marble like things are collection. Just the site of this are a true treat for the eyes. All of the ""emotion"" characters are perfectly brought to life with both Joy and Anger really standing out. The human characters are also quite entertaining and there's no doubt that the Bing Bong character will go down as a favorite decades from now.As I said, this film is going to work a lot better for older kids and adults as I'm sure the majority of young children aren't fully going to grasp the idea of emotions and how they effect our lives. The story itself is quite charming throughout and I was surprised at how many adult issues they were able to work on throughout the running time. Fans of Pixar are certainly going to love this as it's another winner that manages to work no matter what your age is. Still, I think the older you are the more you'll enjoy it.","
            10/10
            "
"INSIDE OUT","matthewssilverhammer","13 December 2010","After some ho-hum years and too many sequels, Pixar is back and better than ever with Inside Out, a boldly unique animated film that renews our faith in what a giant studio can do with an original concept. Docter combines the strengths of his two Pixar masterworks here: the endless inventiveness of Monster's Inc. and the poignant strength of Up. A truly fantastic mixture of fantasy-adventure-comedy and small-family-drama, it's a genius work of conception, execution and emotion that will go down in the annals of Disney animation as an instant and enduring classic. It follows Joy, the leading-emotion of an 11-year-old girl, as she tries to navigate a big change in her young life. Much like Toy Story 3, we're shown the inherent difficulties of growing up through a fresh viewpoint, learning what makes you ""you"". It's a convoluted idea that's nearly impossible to explain, and yet Pixar nails it, perfectly shifting between its parallel universes with ease. The humor throughout will undoubtedly have kids and adults in equal stitches, with fantastic turns from everyone, notably Poehler, Smith, Black, and Kind. However, this film's high-point may be the multiple emotional gut-punches that will reduce parents to tears. That fearlessness to be gloomy is basically the thesis of the film: true joy comes when every emotion is allowed to be recognized and dealt with healthfully. It's quite a psychologically complex stance to take for a film that manages to be so kid-friendly. This wonderful balancing act helps make Inside Out worthy of the ""M"" word (masterpiece) and gives it the distinction of being Pixar's best since the unparalleled Toy Story.","
            9/10
            "
"INSIDE OUT","Sweetigal85","15 January 2011","As an adult, I love animated films but the trailers made this one look like it was really just for kids. I gave it a shot anyway and I didn't expect to love it--but it's depth absolutely shocked me. Not only is it a whimsical, funny film, but the poetry is off the charts.The creators of this film truly remember what it was like to be a child and continue to express understanding to children's feelings today. Riley is a light hearted little girl on the cusp of adolescence, approaching that turbulent age where everything changes and it seems like there is no one there to help you.Riley's emotions are portrayed using colorful creatures inside her head. Joy has been the ringleader of the emotions up until now, but Riley's life changes are starting to shake things up and Sadness has begun to take over. Truly amazing how this was depicted! Absolutely brilliant.As a kid, adults are often dismissing your emotions and never listening to you when you need them most. Often times kids cannot express themselves and turn to anger, panic or disgust, all emotions that will only heighten your problems as Riley comes to learn.When Joy finally lets Sadness take the reins and Riley opens up to her parents and they actually LISTEN to her...it is breathtaking.Don't miss out on this movie, definitely a must see! Amazing voice cast, beautiful visuals and a wonderful message to people of all ages.","
            9/10
            "
"INSIDE OUT","Giacomo_De_Bello","25 November 2010","94 minutes of pure joy and emotion. A return to masterclass from pixar and not only that, probably their best work outside of Toy Story 1 and 2. This film does deserves every bit of praise it has got and more. I will say without hesitation that if you haven't seen this film, believe me you should.Lets just start easy by saying that the animation is something other-wordily. We are beyond the point where anyone needs to express the fact that pixar's animation is gorgeous, but the fact is this animation is some of the most intelligent and dense animation I have ever seen. There are easter eggs in every single frame and more than that every visual element in the movie is well rounded and clearly thought out which makes the storytelling so much more gripping. Talking about storytelling, rarely does a film do visual storytelling so brilliantly. Five minutes into the movie I was in and I knew how things were rolling. This s really a lesson on how to think things out visually and how to use visuals to your advantage as much as it is possible, combining them to smart, engaging ideas.And now to the layers the film has. The deepness of its themes, the intelligence of its story, the subtext behind every action and word, the comedic touches, the insanely funny pop culture references, the poetic approach to joy and sadness, the emotional depth, everything, I'm telling you everything here is gut wrenching. There isn't one scene where you feel time is being wasted, there isn't one word a character speaks that doesn't feel genuine, there isn't one idea that is boring or unoriginal. This film is beyond emotionally engaging, this film gives you a mirror on which to reflect your life and think about it, but no wait it doesn't stop there, it also gives you the opportunity to laugh about it, that no matter what is going on there is also space for a laugh and for lightness. Wow.After a second viewing I have settled on the problem I originally had and can now honestly say this film really just has nitpick issues, it's truly a great one and definitely the best we've been given in 2015 so far. After my first viewing I was all enthusiastic about everything above, but I also was left a little confused by the mythology the film uses and wasn't quite sure it always fit. Upon a second viewing I guarantee that there is no such problem. The mythology is perfect and works with a solid and thought out logic that takes into account the chaos of life. What doesn't quite work is the fact that the film does have a few really minor shortcuts or conveniences that may stick out and I honestly wanted a little bit more of the control center room scenes and see some more of how it worked there, but then again I am really nitpicking.Incredible for me to say it, but I really want a sequel to this film, it's incredible. I want to see another two hours of the five emotions battling in out in the life of Riley and her further struggles, especially want to see the teenage years. This idea is truly amazing and special and it is so inspiring to me, I just really want a sequel to this film and that's the first time I've ever said that in my life.Trust me this film deserves every single bit of your attention and heart, it will take you on a roller-coaster of emotions and entertainment that is absolutely delightful and will also leave you thinking for days.","
            9/10
            "
"INSIDE OUT","planktonrules","14 January 2012","One important note: If you go see ""Inside Out"" be sure to get there on time so that you can see the short that precedes it, ""Lava"". It's an amazing short film--one of the best CGI shorts I've ever seen. But, like ""Inside Out"", its audience really is adults, not kids.This film appears to have been inspired by a now defunct but wonderful exhibit at Epcot at Disney World. Cranium Command was a strange movie which featured lots of film clips and audio animatronics to embody the various emotions battling within a young boy. Here in ""Inside Out"", you have a group of entities that also embody the feelings...but in a young girl. When the film focuses on these five emotions, it's at its best---clever, fun and often sweet and tender. Unfortunately, the film loses its way a bit in the middle--and seems to have succumbed to some distractions. Fortunately, it finds its way very well at the end-- and ending which is incredibly satisfying and perhaps might require some Kleenex.The film is incredibly well animated and I was impressed by the 3-D version as it used this technology well. Additionally, the story is nothing like any CGI film I've ever seen. My only reservation is that the story might be a bit difficult for children to understand and the plot seems much more for older kids, teens and, especially, adults.","
            6/10
            "
