"Movie_name","Usernames","Date","Content","Rating"
"PRINCESS MONONOKE","zetes","7 November 1999","Princess Mononoke is, without a doubt, one of the best films I have ever witnessed. There has never been an animated film even close to this -- I kept thinking after I left the theater, how can Disney even have the guts to make another film after seeing this? Even live action movies pale in comparison to Princess Mononoke. There has never been a film to pay such close attention to details. Watch for the magnificent and subtle flying insects throughout the film, especially in the ancient forest, where bioluminescent dragonflies glide gently around the screen. There are thousands of subtleties such as this. You'd have to see it a dozen times to appreciate this film fully. Aside from it being the most beautiful film I've ever seen, it also has an enormously powerful script. The characters are some of the the most well rounded in all film. Ashitaka especially, the main character of the film, is so nuanced that he has become in my mind one of the great characters in film, up there with Charles Foster Kane and Jake LaMotta. I would compare him to Freder, the main character of Fritz Lang's Metropolis. His role in the film is a mediator between the forces of humans and the gods of nature. Both sides comment several times that Ashitaka must be on the other side, when he is trying desperately to convince everyone that there are no sides. Peace is the way. There is a little to be desired in the American voice talent. Claire Daines was certainly a wrong choice for San (Princess Mononoke), and Billy Bob Thornton just could not hide his southern accent, which made the character of Jigo seem more comical than he was probably supposed to be. Gillian Anderson's voice clashed with her character, the wolf god Moro, a bit. It hardly affected my passion. The film was so spectacular and beautiful that James Earl Jones could have voiced San and it would have detracted little. Definitely, though, I'm praying that they release the DVD with subtitle options. Anyway, Princess Mononoke is the best film of 1999, the best film of the 1990's, and, in my personal top ten list, no lower than #5, but closer to #2. 12 hours later and my heart is still beating with the power of Princess Mononoke! America: SEE IT!","
            9/10
            "
"PRINCESS MONONOKE","TanjBennett","15 April 2003","This seems to be Miyazake's most personal work, clearly a serious design. It is set in an imaginary time which blends the time of the ancient gods (Shinto style, gods of place and nature) with the settlement of humans and the coming of metalworking and war.  The world is not in balance, and a distant conflict between industry and nature has wounded one of the gods of the forest, which is then killed by a sentry boy as it rampages into farmland he guards.  The evil controlling it transfers to him, beginning a slow takeover, and he must journey to the origin of the conflict to find a way to cure himself and incidentally, as he will learn, to try to restore balance.  But this is not a simplistic tale, he finds there are other characters in play, and there is good and evil in everyone, and no easy balance.  The Princess (Hime) of the story is a mysterious human who has been raised by wolves (which are themselves powerful forest gods, a little reminiscent of the Amerindian Coyote myth), who becomes both his ally and his enemy.  The story is not easy to understand.  It has many Japanese mythic elements but even then, it is a work of Miyazake's unique imagination, and is not intended to be simple or to have a clean resolution.The animation is spectacular, and unusual, with new elements even for Miyazake and marks a new departure for style which you can see continued in his next film, Sen to Chihiro - more nature, more wild, more jamming on elements from Japanese myth and folklore.  And, continuing the trend to be more personal, concerned with ethics and character, and less sci-fi. There are at least half a dozen well developed characters threaded through the story, and their animation is wonderful in displaying subtle character.The original Japanese soundtrack has some amazing singing and draws upon some of the best talent available for voices - in Japan, Miyazake is universally known and this was a masterpiece carefully crafted.  Japanese television documented a lot of the production.  The English translation drew on some good talent but they seem not to have ""gotten it"" quite so intensely as the Japanese crew.If you haven't seen Miyazake, give it a try (but maybe look at Sen to Chihiro first, or even Laputa or Kiki's Delivery Service, for easier and lighter introduction to his work).  Some say he is the Japanese Disney, but I don't like that.  His work has a depth and sophistication that goes beyond Disney cute.  There is no other animation like it.  This is truly an adult work: children might like some of the visuals, but I doubt that many kids below teen age will have any idea what it is all about, and even adults will get more out of this each time you see it again.","
            10/10
            "
"PRINCESS MONONOKE","TheLittleSongbird","4 August 2009","Princess Mononoke is one of the best animated movies I have seen in a long time, and is up there with Studio Ghibli's best along with Spirited Away. I will say I am probably biased, as I am a huge Studio Ghibli fan, and love all of their films, I even like Cat Returns, which along with PomPoko is considered as one of the weaker Ghibli efforts. The animation in Princess Mononoke is absolutely stunning, with rich detailed backgrounds and brilliant character animation. The image of the Stag actually made my jaw drop. The music is fantastic as well, and although environmentalism is a subject matter very difficult to get right, what the filmmakers succeeded in doing was making a highly intriguing story that was not only original but succeeded in not being preachy at all. The film is also helped by the high calibre vocal talents of Minnie Driver, Claire Danes, Billy Bob Thornton et al (voicing quite remarkable characters) and a strong script. True, some of the images like the Demon Worm, may frighten younger viewers, but it is fair to say they were very powerful. All in all, Princess Mononoke is breathtaking and I recommend it highly. 10/10 Bethany Cox","
            10/10
            "
"PRINCESS MONONOKE","JTurner82","20 March 2005","In its theatrical Japanese release of 1997, PRINCESS MONONOKE was the hugest box office grossing movie of all time in the land of the Rising Sun until it was overtaken by James Cameron's TITANIC, and, four years later, director Hayao Miyazaki's own SPIRITED AWAY. No wonder. This movie, like an earlier project of Miyazaki's, NAUSICAA OF THE VALLEY OF THE WIND, explores man's relationship with nature, hatred causing destruction, and, more importantly, real characters (in other words, no real ""hero"" or ""villain"") trying to get by in a world continually torn by war.This is not a movie for young children, as there are disturbing shots of decapitations, amputations, and occasional blood spurts. Sometimes these elements of violence turn squeamish viewers away from Anime (especially when they're done gratuitously), but Hayao Miyazaki presents it not to sicken people but to show it for the horror that it is (plus, in this film, the violence is not overdone). Take, for example, the scene where the protagonist, Prince Ashitaka of the Emishi Tribe, possessed by a curse he received from killing a Demon God (in trying to protect his village), tries to stop samurai attacking innocent people, and in doing so shoots the arms off of one man, and, later, takes off a man's head with two arrows. The sight is horrifying to see, but the deed also increases Ashitaka's demon mark on his arm, which is slowly preparing to take his life. This is a truly horrible depiction about the dangers of violence.Also worth noting is Princess Mononoke herself, a human girl named San raised by the Animal Gods, and her struggle against Lady Eboshi of Iron Town, who is destroying the forest merely for her people's own good (the folks are outcasts, including lepers and prostitutes). San distrusts and despises all humans, and is especially determined to destroy them all (particularly Eboshi)... or die trying. When she's rescued by Ashitaka, however, a conflict within her begins to surface: are *all* humans evil, or is there at least one who is trustworthy? If there is any character who could be considered a villain, it would be the monk, Jigo, who wants the head of the Spirit of the Forest to bring to the Emperor. Such a deed would destroy the entire forest (as we find out in the film's chilling climactic scenes) but even Jigo has his own motives, too. He is not so much evil as much as he is just ""trying to get by"". This pretty much sums up the conflicts between all our characters here.PRINCESS MONONOKE may not have enjoyed similar box office success here in America, but at least a lot of work and care went into the translation. As with Disney's other English language tracks for Miyazaki's films, this one is very, very well done. Acclaimed writer Neil Gaiman worked on the script, rewording it only to a) fit the mouth flaps, and b) make it understandable to a non-Japanese audience who would probably not comprehend a lot of the cultural nuances found in this film. Added to which, the voice cast includes a commendable list of stars; Billy Crudup is perfect as Ashitaka, eliciting just the right amount of warmth, kindness, compassion, wisdom, and courage, while Claire Danes delivers passionately angry, conflicted turmoil to San. (Folks said she was miscast, but I beg to differ; her character is *required* to be outraged and aggressive, and Danes does have a strong voice to carry such emotions.) The rest of the cast includes Billy Bob Thornton as Jigo (a grossly underrated performance; his Southern drawl adds to the character), Minnie Driver (elegant choice!) as Lady Eboshi, Gillian Anderson as the Wolf-Goddess Moro, and Jada Pinkett-Smith as the friendly (if no-nonsense style) worker Toki. The translation flows smoothly to those who are not familiar with Japanese folk tales, and the story succeeds in making its point, too.This movie may not be for everybody, as it is the kind of film that may disturb young children, but older audiences will find themselves absorbed in the artwork, which showcases gorgeous, unmatched imagination, from the finely detailed forests to the cute little Tree Spirits who appear and disappear at will to the Forest Spirit itself -- a huge deer who makes plants grow with each step he takes. And at night he becomes a ghostly specter known as the Nightwalker, traveling higher than the trees. Such images warrant the purchase of this film. Better yet, its message is not too preachy, and rarely do animated movies (save those from Japan) showcase characters portrayed as, well, human beings.","
            10/10
            "
"PRINCESS MONONOKE","misty6767","14 August 2004","The first time I saw Princess Mononoke I was completely moved and surprised. Since it was a Studio Ghibli film dubbed by Disney I liked the fact that it wasn't a ""they all lived naively ever after"" film. There were no complete ""good"" or ""bad"" guys. Even Lady Eboshi the most antagonist character in the movie had a reasonable motive for trying to get rid of the animal gods and cutting down the forest. Although it her actions were environmentally damaging and wrong in general, she did it to help her people survive which is what all the species on Earth strive for. Another wonderful aspect of the plot is that it sends a message - Protect the Earth and all will survive in peace - a message either discreetly or strongly portrayed in many of Miyazaki's films. Perhaps the portrayal of this message (and the tiny hint of San and Ashitaka's romance and Moro's views on nature) was what made the film so touching to me.Like many Miyazaki movies, the animation (as always) is wonderful and nicely detailed which is also another quality that genuine Disney films lack (thank goodness for Studio Ghibli). The music was beautiful and well suited to the movie.The only predicament to the movie is that it is a bit downbeat and does not contain much happy laughter (oh well, I can watch My Neighbor Totoro - also a good movie - for happy laughter.).10/10 - And my favourite movie of all time.","
            10/10
            "
"PRINCESS MONONOKE","morphion2","7 January 2006","Studio Ghibli has been Japan's leading anime Production Company since the 1980's, when legendary anime director Hayao Miyazaki released his first feature film ""Nausicaä of the Valley of Wind"" (1984). From the very beginning, it was clear that the Japanese director had a fantastic flair for animated film, and the uncanny ability to engross his audiences beyond the normal movie-experience that makes him the King of Escapism. Over ten years later, it seems that Miyazaki is still just as good, if not better, as he invites the world into his latest visionary fantasy, the cult classic ""Princess Mononoke"".The film is set in Japan, during the Muromachi Era, and begins in the quiet peaceful township of the Emishi tribe, when young Prince Ashitaka (Yôji Matsuda), the last of the Emishi royalty, is wounded slaying a demon in an unexpected attack. When the tribe's wise-woman tells Ashitaka that the wound is a curse of hatred that will eventually kill him, he sets out on a journey to the west to discover the origins of the demon. What he finds is a war being waged between the villagers of Iron town, an industrious Iron-works fort led by the ruthless Lady Eboshi (Yûko Tanaka), and the beasts of the forest, represented by the beautiful Princess Mononoke (Yuriko Ishida), a human girl raised by wolves, with whom the cursed prince falls in love. Soon Ashitaka's efforts to make peace are put to the test by each side's bid for allegiance.""Princess Mononoke"" is a fantastic work of art on many fronts, and arguably Miyazaki's best film to date. While some of his other projects have had the same enchantment and excitement, ""Mononoke"" has an intriguingly dark and infinitely more mature feel, established by the bloody battle-scenes and sensitive color treatment, and solidified by a complex plot and rich, interesting characters. The most obvious illustrative trait of the film is the ambiguity of the characters' nature; the lack of distinction between good and bad. The ruthless lady Eboshi, while caring nothing for the forest or its inhabitants, is very compassionate towards the underdogs of her own community, such as the brothel girls and the lepers. And the wild wolf-princess, while desperate to defend her fellow forest-dwellers and protect the forest spirit, has a deep-seated mistrust of humans that even steeps into self-loathing at times. These interesting character traits make the film a lot more rewarding than many of Ghibli's other works, which were aimed mostly at children.Of course, all these intriguing themes and characters are only a part of the film's wonder, because Miyazaki's true gift lies in imagery. The detailed animation of ""Princess Mononoke"" is astounding, drawing its audience into its environments, from lush forest to open fields to crowded marketplace and more; the team of animators that poured their hearts and souls into this film should take utmost pride in their accomplishments. Using minimal and tasteful CGI, the movie stays very warm and inviting even when the subject matter and mood is less-than-friendly. This is also owed to the audio aspects of the picture; the voice talents involved are highly engaging and enjoyable, even in the English dubbed version, which features such big western names as Billy Bob Thornton, Minnie Driver, Billy Crudup, Clare Danes and Gillian Anderson. Joe Hisaishi's music is also a rather splendid complement to the film.Overwhelming success of the anime production in Japan alone stands as a testament to its fine quality. Breaking a 15 year record held by Spielberg's ""E.T."", ""Princess Mononoke"" became Japan's No. 1 movie of all time in the year of its release, as well as taking the title of best-selling video/DVD of all time. It is also the most expensive animated Japanese feature in history, reaching a budget of 2.4 billion. Outside of its home-country, however, the film continues to inspire and engage audiences from all corners of the globe, taking a well-deserved place in the list of cult-favorites for film-lovers everywhere.","
            10/10
            "
"PRINCESS MONONOKE","Xstal","22 October 2020","... and arable desert dust bowl aliens. It seems our intent to unbalance, upset, bias, distort and thoroughly irritate Mother Nature knows no bounds. I'm curious of the curses and phantasms this great animator would conjure against Homo Ignorantia in todays world, spectral beasts perhaps, to unite alongside the current pandemic sent to warn us off the path we're so resolutely set on taking.As engaging a narrative and animation as any you'll come across, with enough to keep you pessimistically in despair of the curse the people of the world are to the lifeforms we share resources with on this planet we call home.","
            9/10
            "
"PRINCESS MONONOKE","Rectangular_businessman","12 June 2010","Ever since I was a kid, I was fascinated by animation, I watched way too many cartoons and would often drawn them myself. I never thought of animation as ""real art"" or anything fancy, just one of life's simple pleasures. Sure Disney had made some ground-breaking animated features, and technology was allowing for more and more detailed and intricate animation techniques, but no animated film had ever moved me as much as a Godfather or Unforgiven or Dr. Strangelove, that is until one fine day in 1999. I was in high school, and Princess Mononoke was premiering at the Coolidge Theater in Brookline, I was pumped as I really enjoyed Castle in the Sky and Totoro, so I went to the theater with a few friends and was absolutely clown away for this. This film is so spectacular in almost every way and every piece comes together perfectly. The animation is top-notch, not that shoddy 1980's anime style, but the mind-blowing animation techniques that made Miyazaki the maestro his is today. The score by Joe Hisaishi is tremendous, though at times it may seem a bit overly dramatic (I mean this is an animated feature, not Lawrence of Arabia), but this is the ultimate animated epic, so it fits in well. The plot is dense and the characters are well-developed, there are no true ""good"" or ""bad"" guys in this film...and Miyazaki includes his favorite underlying theme of Man vs. Nature throughout. Some may argue that Spirited Away was Miyazaki's crowning achievement, but I believe that Mononoke Hime is his true Masterpiece.","
            9/10
            "
"PRINCESS MONONOKE","alvaradj","1 February 2000","I saw Mononoke Hime on its USA release back in late December 1999 under its U.S. title Princess Mononoke.  I had read quite a bit about this film and its director but was still totally overwhelmed by the beauty and brutality of this movie.  The complexity of this movie is something never seen in the United States in an animated movie and even exceeds that of most live action movies as well.  It combines love and hate, war and romance, nobility and deception in ways rarely seen in movies today.  Lines of good and evil are anything but clear cut and in the end is hope but no guarantees, no promises.  This is truly an adult movie but my children, ages 12 to 15 all loved it and talked about it for days later.  Even my wife who holds a strong prejudice against Japanese animation enjoyed this movie.Go and see this movie.  You won't be disappointed.","
            9/10
            "
"PRINCESS MONONOKE","ma-cortes","12 October 2007","This magnificent cartoon movie concerns Japanese legends , it begins when Ashikata, a prince warrior is wounded by a cursed giant boar . He attempts to encounter some way to heal incurable curse inflicted . Ashikata saddled in his red deer goes to the east, where finds the Iron Town , ruled by Lady Ebosi confronting Sam , the princess Mononoke, a human girl raised by wolves . Ashikata encounters in the middle of fighting among the forest animals : large wolves, giant boars and humans : emperor Mikado soldiers , Lady Ebosi soldiers and Shogun army . Furthermore, in the forest finds the deer god and spirits called Kodamas .This wonderful film is plenty of fantasy , adventures, drama, spectacular combats and with ecological message . The picture is narrated with sensibility and sense of wonder and quite entertaining, though isn't apt for small kids but contains graphic violence . It's a deep critical about nature exploiting and killing the forests for the encroaching civilization represented by an iron mining town that cause a damage environment . This stunning film, though a bit too long, converted the first of any kind to gross over the box office in Japan and around the world. The motion picture was splendidly realized by Hayao Miyazaki , he personally corrected or redrew more than 80,000 of the film's 144,000 animation cels . Being accompanied by sensitive music score composed by his usual musician , Joe Hisaishi. Miyazaki also directed other excellent cartoon movies as ¨Howl's moving castle¨ , ¨Chihiro¨ , ¨Porco Rosso¨ and ¨My neighbour Tororo¨ . Rating : Sensational and fantastic , it's a masterpiece cartoon movie.","
            6/10
            "
