"Metascore","Username","Title","Content","Stars","Date"
391,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
NA,"lewiskendell"," An unexpected gem.
","
                ""All I ever wanted was for Juli Baker to leave me alone.""Flipped is easily the best love story/relationship movie I've seen since (500) Days of Summer. I'm the kind of guy that you couldn't pay to watch a Nicholas Sparks movie, but that doesn't mean that I can't appreciate a good movie about the highs and lows of love. In a year of formulaic, mind-numbing flicks with no imagination or heart like Letters to Juliet, Flipped is a welcome breath of fresh air. It's about 8 or so years in the lives of two kids who meet when when one of them moves into a new neighborhood. Juli (played by Morgan Lily and Madeline Carroll) is instantly smitten by Bryce (Ryan Ketzner and Callan McAuliffe) the second she sees him drive up to his new house. Bryce, being a typical second grade boy, finds her attention embarrassing and unwanted. As they get older, that dynamic between them remains pretty much the same, but we wouldn't have a very interesting movie if that's all there was to it. Eventually Bryce finds himself on the other side of the equation (flipped, get it?), and has to win back the girl he never knew he always wanted.How odd is it that a movie about a couple of kids handles the topic of love in a more mature and genuine way than almost all of the adult-oriented romantic comedies that we're buried under each year? There's no doubt about it that Flipped will make you say ""aww"" on occasion, but there's a lot more to it than just kids being cute. Humor, issues of class, family conflict, and the lost idealism of youth are introduced into the story by Bryce and Juli's respective families, and there are several outright bittersweet or poignant scenes within the story.The movie is shown from the POV's of both main characters, and often the same event will be shown from each of their perspectives. It works really well, as it really helps the viewer to ""get"" both Bryce and Juli. The kids chosen to play the older versions of the two (Carroll and McAuliffe) are both great, the fact that the story is set in 50's or 60's suburbia adds a believable sense of innocence to it all, and there is just a fresh feeling to the movie that I can't really describe with words.I heartily recommend this to anyone who likes a good, well-written movie, regardless of the genre. You can tell that a lot of heart went into making Flipped, and it shows. Great movie.
                
                    187 out of 197 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            8/10
            ","22 December 2010"
NA,"neenahhh"," Such a refreshing addition to the romance genre
","
                'Flipped' is truly a ""real movie"". Probably what most people enjoyed about this movie was that the events that happened in the movie could might as well have been their reality. Many people in this world (if not all) have experienced having a real crush. This movie shows a crush blossoming from both a guy's and a girl's view. It was very interesting to see two viewpoints on this everyday happening. That is what makes this movie so appealing. Viewers get to watch Bryce and Juli's emotions whenever they see the other. Viewers see Bryce and Juli's smiles that they can't help. Viewers get to know who exactly Bryce and Juli are.Anyone and everyone will enjoy this movie or can at least, relate to it. Even adults! This film will surely take you down memory lane and help you remember the feelings you had when you were first in love. I've never experienced being in love before, but this film makes it seem wonderful. I absolutely loved this film.Madeline Carroll and Callan McAuliffe were great in this film! Even if they're very young, they did wonderful jobs in performing here. In each of their scenes, you could sense the emotions that they were feeling and wanted to convey to the viewers. The characters themselves were also very interesting. Particularly Ms. Juli Baker. It was nice to see such a free-spirited teenager, who was very opinionated and didn't let anything stand in her way. The chemistry that both actors had were average. I thought that they showed their most potential when acting by themselves, in their own surroundings.I was pleasantly surprised when I found out that Rob Reiner, the director of this film, was the same person who directed 'When Harry Met Sally' and 'Sleepless in Seattle'. So far, all romantic-comedies that Rob Reiner has directed has not disappointed me. I can't wait for more of his works! All his rom-coms are excellent additions to the romance movie genre.This was an amazing teenage romantic comedy. Surely one of my favorites, right up there with 'When Harry Met Sally'. Do not miss this film. It's baffling to see that this film isn't as popular as it's supposed to be.Viewed on: April 5, 2011 ; December 16, 2011
                
                    68 out of 72 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            7/10
            ","5 April 2011"
NA,"napierslogs"," ""Flipped"" has all of the comedy, naiveté and bewilderment of first love
","
                Juli just had to take one look at Bryce's blue eyes, and she knew it was true love. Bryce just had to take one notice of Juli's manic desperation, and he knew it was going to be a friendship of torment. I just had to take one look at the film's artfully designed poster, and I knew ""Flipped"" was a film to be savoured.A beautifully told film of first love, we flip from Juli's point of view to Bryce's point of view, very effectively giving us the true nature of their friendship, love and respect they have for each other. Except in the case of middle-school graders, that love and respect can frequently look like embarrassment, mistrust, and shame. All of those emotions are told with intelligence, subtlety and humour.""Flipped"" has all of the comedy, naiveté and bewilderment of first love. It takes the romantic comedy farther by actually giving us characters with real depth. There is more going on than just Juli and Bryce figuring out their love for each other, and every aspect of this film is well written, touching and relevant.""Flipped"" is a cute film for everybody who fondly remembers that fiercely independent girl or the guy with piercing blue eyes that lived across the street.
                
                    67 out of 73 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            8/10
            ","13 December 2010"
NA,"ivantheeditor"," A total gem!
","
                Truly, this is one of those rare gems you stumble upon only once in a blue moon. Give it a try! You won't regret it!
                
                    15 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            10/10
            ","26 August 2020"
NA,"leiser18"," One of Rob Reiner's Best
","
                ""Flipped"" is superbly directed by Rob Reiner and in my book, one of his best movies. It's a wonderfully told coming-of-age story, which I could relate to in many ways. The main two characters, Juli and Bryce, are very likable. Their parents, played by Penelope Ann Miller and Aidan Quinn, Rebecca de Mornay and Anthony Edwards, respectively, are believable in their roles, which they play excellently. I liked the fact that the story is told from two points of views, Bryce first and then Juli. If you want to see a really feel-good movie, instead of watching some dumb comedy or shoot 'em up flick, go see FLIPPED! You will not regret it.
                
                    113 out of 131 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            10/10
            ","14 September 2010"
NA,"mtkeg-93640"," Father of a 13yo girl
","
                Our 13yo daughter asked My wife and I to watch Flipped with her. She had seen it already once and told us it was her favorite movie. All I can say is we both absolutely enjoyed it! A movie like this is a classic. Completely blown away with all the actors and actresses! The message of this movie is incredible! Watch this with your kids!!
                
                    29 out of 29 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            10/10
            ","17 May 2020"
NA,"Gpanther67"," How did I miss this wonderful movie for 11 years?
","
                I just discovered this gem on Netflix and was impressed, moved and entertained. Its a romantic film about puppy love, so it may not be for everyone (even teens) but I found the leads to be charming and charismatic. The plot device is nothing new, but the charm and early 60's setting make it fresh in many ways. A wonderful cast led by the young leads (now grown!), the late John Mahoney and Aidan Quinn help make this film watchable and enjoyable. A wholesome movie with wonderful moments.
                
                    14 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            ","
            8/10
            ","24 June 2021"
