"Movie_name","Usernames","Date","Content","Rating"
"SPIRITED AWAY","gogoschka-1","26 December 2013","Carl Fredricksen (Ed Asner) as a young quiet kid idolized explorer Charles Muntz (Christopher Plummer) and his discovery of Paradise Falls. Ellie is much more animated and also a great fan of Muntz. Together they would marry and live their lives together until the day she dies. Now Carl is hounded by a property developer and forced to go to a retirement home. Instead he ties a sea of helium balloons to his home and float away to Paradise Falls. Wilderness Explorer scout Russell who's trying to get an Assisting the Elderly badge gets dragged along on the adventure.The first part of this movie is a real tear jerker. When Carl and Ellie's lives flash through the years, all the heart breaks and all the love just jump off the screen. Then there is comedy as the journey to Paradise Falls starts. The movie gets very surreal with dog translators, and a very colorful bird. The villain is a bit too villainy. The story gets too serious at times. But it ends almost as emotionally as it starts. It is one of the best of Pixar.","
            10/10
            "
"SPIRITED AWAY","Buddy-51","3 May 2003","This film is possibly one of the best animated films of all time as it tells an emotional moving story while being funny. As I said the emotion in this film is full of heart and even though I didn't cry it will make most people cry. The characters in this are perfect even if it is a small character like Ellie or big character like Carl everybody gets so much development even Charles Muntz the villain of the film is also given development, even more than some superhero films nowadays. Also this film has comedy some Pixar films now just want to make you cry but in the 2000s they had mix of sad and funny moments. So overall this film is as close to perfect as an animated film can get, it is has a mix of emotions it is funny and sad when it needs to be it has so much heart and the characters are perfect. This film in my opinion is the best Pixar film.","
            7/10
            "
"SPIRITED AWAY","Morejambo54","29 December 2020","I love Pixar and feel they have been pretty consistent. True I do prefer Toy Story over Cars and Finding Nemo over Ratatouille, but I find their films amazingly animated and thrilling. I thought that after the first two Toy Story films, that Pixar wouldn't be able to make a film to top them. WALL-E, yes I loved it, came pretty close, but in my opinion Up is Pixar's masterwork. And why do I say that? Because it is widely imaginative and astonishing in its emotional range.First of all, the animation is stupendous, beautiful backgrounds, beautifully drawn characters and stunning colours. The scenery and sights are just fantastic, down to the colour and visual detail that went into the film. Michael Giacchino's music is stunning as well, simple yet melodious and sublime. And I do have to concur with the majority about the opening montage; Finding Nemo had some beautiful moments and WALL-E's haunting isolation moved me close to tears but this opening montage was so poignant and utterly heart-breaking. It is quite simply one of the most beautiful and effective beginnings ever to an animated film.I have heard complaints that the story meanders when the talking dogs are introduced and that they were irritating. Can I respectfully disagree? What I loved about Up was how widely imaginative it was, in short why shouldn't a dog talk? It's an animated film, why does it have to COMPLETELY realistic? Elephants don't fly, look at what Disney did with Dumbo.The story, back on target was well written, thrilling and startling with a sense of adventure with enough action and high-flying escapism for kids and adults. The script had some truly hilarious and surreal moments, while Toy Story had wonderful sophisticated dialogue, the dialogue in Up made me laugh and it made me cry.And finally the characters, I loved them all, grumpy old widower Carl, stowaway Russell, eccentric adventurer Charles Muntz, the big bird and the hilarious Doug. Russell may be a tad annoying at first, but he grows on you. The voice acting is exceptional- Carl is voiced with real demeanour and depth by Ed Asner and Christopher Plummer, the wonderful underrated actor he is, is superb as Charles Muntz. But I do have to give mention to Bob Peterson, he is simply brilliant as Doug, he is really funny when he needs to be and never overdoes it.Overall, this is a wonderful film. There may be controversy over how Beauty and the Beast is no longer the only animated film to be nominated for best picture. Beauty and the Beast has been and always will be my favourite animated film and one of my favourite films of all time (The Lion King is a very close second), but Up is a great film and does deserve an award of some kind. 10/10 Bethany Cox","
            10/10
            "
"SPIRITED AWAY","supertom-3","2 April 2004","A young Carl Fredricksen wanted to find and explore Paradise Falls. Years later, he and Boy Scout Russell embark, transporting his house with thousands of balloons.I don't think an animation ever had such a huge impact on me, as Up did. I watched it in the cinema with my young nephews, they sat there laughing their heads off and giggling, I sat there in floods of tears.The story is wonderful, and I know it's an animation, but how nice to see an elderly gentleman as the lead. Carl is a fascinating character, he's a little quirky, he's funny, but he's heartbroken.The animation is glorious, it holds up incredibly well, and looks better than many that followed, it also sounds marvellous. It's wonderfully bright and vivid, it will appeal to viewers young and old.Up never gets tired, it's an outstanding, funny, moving and heart-warming movie.10/10.","
            9/10
            "
"SPIRITED AWAY","planktonrules","11 June 2007","It will put you through every emotion that a human can experience, that is, if you are an adult and not a psychopath.","
            10/10
            "
"SPIRITED AWAY","Le-Samourai","20 July 2004","If you asked Rick Astley for a copy of this movie he wouldn't because he stated ""I'm never gonna give you up"" but then he would be letting you down. Therein lies the Rick Astley Paradox.","
            9/10
            "
"SPIRITED AWAY","shanebuckland","4 November 2002","Carl Frederickson (Ed Asner) has lived a long life, but dreams of adventuring to South America. He wants to spend his remaining days in his home, but new high-rises are being constructed around it. After a chance accident, Carl loses his home, and is set to be taken into a retirement home. Unhappy with this idea, the former balloon salesman ties thousands of balloons to his house and simply floats away, en route to his dream adventure. Except, he is not alone – young ""wilderness explorer"" Russell (Jordan Nagai) inadvertently shows up in mid-air, and Carl sees no other choice but to bring the boy with him.The fact that this plot line is even relevant enough to get made into a movie is more than enough reason to praise Up. Ever since Toy Story, Pixar has consistently delivered the most radically original and unique ideas for animated films, and live action films. Sure, not all of them are as amazing as others (Cars is quite simply stale compared to the likes of Ratatouille and WALL-E), but there is something brilliantly imaginative and exciting going on at the studio, and Up is no exception.Coming off the breakthrough of WALL-E, I was not expecting the same reaction to Up, but I was more than just pleasantly surprised. The film is hilarious, heartfelt, moving and depressing all at once. This may sound like it is an issue, and that the film has a problem holding its ground with its tonal structure. But instead, it handles it quite well; splitting the film into quadrants and allowing the themes and plot line to coincide with whatever emotional response the filmmakers are going for. And while there is plenty for young children to enjoy and take from the film, it is the older audience that will get the biggest reaction from it. There is a lot going on in the film, but it never loses its speed and never loses control of what it wants to say and do. It knows exactly where it wants to be and when. And where other recent Pixar films have failed (specifically in their lengthy runtimes and frequent need to drag themselves out), Up does not. It practically blasts its way through its beginning, all the way up to its ending, with time left to spare.What makes Up work so well, much like WALL-E before it, is the focus on very few characters. Where WALL-E spent the majority of its runtime primarily on Earth with its main character, a love interest and a cockroach, Up spends its majority with Carl, Russell, a ""bird"" named Kevin and a talking dog named Dug (voiced by co-director Bob Peterson). It does allow for more characters to enter in later on, but the focus never strays from these main characters. Some may say the film is trying to tell multiple stories, but as the film progresses, it is clear it is telling one story – the tale of a man who never experienced what he wanted the most. The film builds up Carl's backstory heavily in startlingly moving moments that surprisingly were surprisingly kept rather secretive in the marketing for the film. We know from the very first trailer that Carl is a fairly mean old man, but the film spends a great deal of time to develop him into an emotional wreck of a man.But the real success of the film is in its imagination and adventure. While WALL-E is perhaps the most startlingly unique and original animated picture of the last decade, Up still manages to pack in a lot of uniqueness. But while WALL-E got caught up in its own environmentally sound message, Up sticks with being an almost straight adventure picture. It is frequently thrilling and exciting, and lets up only for a few moments at a time. For such an older character, the film really stuns with some of its fantastical ideas. Sure, it is obvious this is a film that could only ever be done as an animated film, but what it lacks in realism it makes up for in fun – something that has been sorely missing from the movies for years. It came back for a short while with the first Pirates of the Caribbean film, but the focus as of late for any film has been on deeply conflicted, depressing narratives. And while this film is struck with having some of the most depressing scenes the year has seen so far, it never wallows in the sadness. It throws the moments at you, and then quickly moves on. And as said previously, the tonal shifts work excellently in Up's favour.But of course, an animated movie cannot work without its animation. While Up is not a breakthrough in the way other Pixar films have been, it keeps with the tradition of still looking stunning and leading the curve for computer animated films. It does look cartoony and fantastical in many instances, but this only continues to work towards it being even better. The locales are realistic looking; the dog fur is near perfect. For me, watching Carl's facial hair gradually grow in as the story moves along was simply amazing. The little details and minute perfections have always been key to the Pixar films, and Up is no different. Additionally, the 3D effects really add a layer to the film, and bring the movie to life (unlike other recent efforts like Monsters vs. Aliens and Bolt).I cannot praise Up enough. Words cannot do justice for how excellent the film is. Pixar continues to outdo itself year after year, even with their subpar films. While each film has their own flaws, Up revels in being as close to perfect as the company has been in years. I adored every minute, and look forward to watching it again with an even bigger smile on my face.10/10.","
            8/10
            "
"SPIRITED AWAY","Marshall-D-Teach","15 February 2020","What's up? Up is up! It was very successful movie! It even was nominated for Best Picture by the Academy Awards. It was the second animation film to do that. Directed by Pete Docter, Up is Pixar's tenth film in their series and their first full-length 3-D film. The film tells the story of an elderly widower named Carl Fredricksen (Voiced by Edward Asner) whom trying to fulfill his late wife's dream by taking their house to South America. The only problem is, that an earnest Boy Scout named Russell (Voiced by Jordan Nagai) has tagged along, making the simple trip, so much, more complex. Can Carl make it to South America or will his late wife's dreams be shattered? Watch the movie to find out! Without spoiling the movie, too much, I found this movie to be very entertaining. The movie is gorgeous and colorful. Sadly, the 3D isn't worth it, but it's still, beautiful to the eyes. I love the amazing music by Michael Giacchino. I just wish, the tune sound more South or Latin American, than European, because it would make more sense. The movie is unsurprisingly well action part. Great pacing. The film is also well-acted. Everybody did their parts, very well. Edward Asner was a great choice as Mr. Fredricksen. I love his grumpiness in his voice. The use of mostly grunts, make it seem, like his responses come from a protective stance, rather than his own grouchy nature. Jordan Nagai as Russell is just as likable. He has the most lines, in the film, and none of it, sounds too annoying. I guess, there was something, sweet about his voice. You really do hear it, whenever, Russell speaks. I love that the actor wasn't even trying to get cast for the role, but end up, getting it, over his brother who was. It show, how charming, his voice is. The supporting cast's voice acting is just as memorable. Christopher Plummer as the villain, Charles Muntz, the explorer was fun to listen to. Bob Peterson as Dug, the dog, was pretty amazing. His voice in this, remind me so much of veteran voice actor, Dom DeLuise. I also love the cameo from Pixar's own favorite actor, John Ratzenberger in his minor role. As much as I love the voice acting; I really love, how the cartoon characters appear in this film. I like how, they have more child-like appealing cartoony look. The whole over the top celebrity caricatured facial appearances kinda works, because the older computer model for humans, used in Toy Story 1&2 are just way too bland-looking and unappeased. It has that creepy uncanny valley look to it. Anyways, I think, the new model gives the movie, the amount of surrealism to make the plot to work. I really doubt, the film could work, with more realistic facial appearances, because how bizarre, the premise is. While, the appearance of Carl is meant to resemble Spencer Tracy as he appeared in his final film, 1967's Guess Who's Coming to Dinner. I like his short square status, and cartoony facial expressions. It makes Carl stand out. Unlike some critics, I also love, how Russell look. He doesn't look, like a kid with Down syndrome. He looks like a normal kid. I think, they were a little too harsh in their judgment. I also love the fact, that Russell is clearly Asian American, but his character lack the typical Asian over-stereotyping. Surprising, it makes the character, so much, more appealing, because it's not stepping over to over-used racial clichés. Charles F. Muntz really looks like, an old explorer, but his character's looks was a bit jarring. I really had a hard time, believing, that he's that well maintain, at his age, when he spent, most of the film, living for so long, outside of civilization. In my opinion, he should have, look, a little more broken-down. Last is Dug. He's a very realistic looking golden retriever. I own one, and they got it exactly right. I like how he closes his mouth and freezes when he notices a squirrel. Funny moment right there. For the story, it's both a hit and miss. I love that the film deals with more adult like drama, than childish antics. Having Carl still dealing with the loss of his wife, gave the movie, so much depth. It was really needed. However, besides the awesome and unexpected genuine tearjerker opening marriage montage, the film goes into another direction, with its absurdity. It's really off the wall, crazy and convenient, that Carl able to travel to South America in the way, he's traveling. The movie takes great artistic license, when it comes to engineering and physics. You have to really, be willing to suspension your disbelief from the rest of the entire film. Especially, when Russell was designed to be the child that Carl and his wife were unable to have, in both a figurative and literal spirit. Another thing, I didn't get about the plot, is how Charles Muntz can be, easily discredited. Clearly, the amount of what he found, in his short life, would give, his statements about the exotic bird, some credit. Clearly, much of the unexplainable questions in the plot, could be solve in the Carl is crazy theory that certain people has latch on. In theory, Carl didn't travel to South America, instead the Balloons are metaphors, reflecting Carl's happy and uplifting memories of his wife. Hints, why he was stubbornly clinging to them and refuses to let go, as if he's afraid he's going to fall. It wasn't until he did, was he able to live life, once more. Other people have notice, some themes similarity in the plot to John Milton's great poems Paradise Lost, Harvey Potter's Balloon Farm by Jerdine Nolen, and most of all, several really obvious references to Studio Ghibli. Overall: It deserve its good praise. A must-watch. Things can only go up from here.","
            6/10
            "
"SPIRITED AWAY","Balibari","18 October 2004","This is another film in which it really helps to know in advance what it is, or more specifically, what it isn't. Then, you go from there. I enjoyed the animated film very much but, some of that was due to the fact a friend clued me in first, saying ""this isn't really a comedy or a film for little kids. Don't expect a ton of laughs."" So, instead of seeking laughs (although I still got them here and there), I just enjoyed the adventure story and marveled at the amazing artwork. Seen on Blu-Ray, this is yet another example in which you shake your head and wonder, ""How does the artwork get any better than this?"" Then, about six months from now, another will come along and I'll say the same thing. Overall movies may not be better today than ""in the old days,"" but there is no dispute there are two areas in which films keep getting better and better: special-effects and animation. This is another example of that.The colors and the detail in here are almost beyond description. The artwork ranges from bold to subdued, but always stunning. I lost track how many times I wanted to just pause and admire the picture for a few minutes. From super-sharp closeups of the old man's face to lush jungle scenery, this high-definition disc is worth every penny/Back to the story, I found it a combination adventure-fantasy-comedy-suspense-sentimental story, about in that order, too. Generally-speaking, I would think adults would like this more than kids, but I may be wrong. Everyone - regardless of age - will have their jaw drop more than once viewing the incredible-looking scenes. It's really a feast for the eyes. Finally, if you like extras, there are tons of them in the four-disc DVD set.","
            10/10
            "
"SPIRITED AWAY","JWick23","18 December 2020","Greetings again from the darkness. Another crackling collaboration of Pixar and Disney, and as expected, it is touching, funny, thrilling and amazing to look at and watch. Only a step below Toy Story just because it is not quite as ground-breaking, though the story is even better.While I love technology and effects, I am first and foremost a story guy when it comes to movies. This has as good of story as any film you will see. My only caution is that it seems geared towards grown-ups, not kids. The montage of Carl and Ellie growing old together is without dialogue and will probably bore some kids. Their parents certainly won't be bored; however, as it will resonate with most anyone over age 40 who hasn't taken the time to chase their childhood dreams.No question, this film is a barrage of color and eccentric characters, and can even be a bit frightening at times. Still, the key to this one are the stories and quests of the elderly Mr. Fredrickson and the young Russell, trying to earn his badge of honor. From the beginning, Disney has always had a finger on the pulse of youngsters. Here, we aren't given the usual Hollywood garbage of brainiac kids who make the adults look stupid. Instead we are given a pudgy, slightly goofy kid just trying to get his parents to take note.Special kudos to Ed Asner for bringing Mr. Fredrickson to life ... in good times and bad. He never goes overboard and is quite often absolutely perfect. Christopher Plummer has a limited role as bad guy Charles Muntz. Or is he really so bad? Cast aside by society, he has spent his life searching for redemption.I am not saying the kids won't enjoy, but I am saying make sure parents and grandparents tag along. You will be entertained, delighted and moved.","
            10/10
            "
